trial,n_up,n_down,response,rt
1,74,26,up,1.2148687839508057
2,52,48,up,2.3325819969177246
3,24,76,down,1.6555068492889404
4,28,72,down,1.0445928573608398
5,80,20,up,2.5495121479034424
6,28,72,down,0.7298028469085693
7,74,26,up,3.2738699913024902
8,44,56,down,2.148277997970581
9,68,32,up,0.8108608722686768
10,48,52,up,2.4326789379119873
11,38,62,up,2.1121678352355957
12,36,64,down,1.0452868938446045
13,54,46,down,1.4150848388671875
14,22,78,down,0.9331490993499756
15,60,40,up,1.5933821201324463
16,30,70,down,1.675858974456787
17,68,32,up,1.4581880569458008
18,46,54,down,3.3842530250549316
19,80,20,up,1.8201699256896973
20,64,36,up,2.119356155395508
21,50,50,up,0.9434499740600586
22,22,78,down,1.472973108291626
23,46,54,up,1.0370838642120361
24,58,42,down,1.3166840076446533
25,42,58,down,1.7417340278625488
26,38,62,up,1.0833399295806885
27,76,24,up,3.658168077468872
28,26,74,down,0.7021770477294922
29,62,38,up,4.154038190841675
30,32,68,down,0.8740181922912598
31,32,68,down,2.024225950241089
32,20,80,down,0.8343641757965088
33,76,24,up,0.8464818000793457
34,62,38,up,0.719310998916626
35,56,44,up,0.7965281009674072
36,34,66,down,3.3427670001983643
37,42,58,down,2.8558390140533447
38,60,40,up,4.032685995101929
39,72,28,up,2.7579421997070312
40,64,36,up,1.9774181842803955
41,52,48,up,3.958503007888794
42,26,74,down,1.6264088153839111
43,30,70,down,2.501296043395996
44,56,44,up,5.484266996383667
45,66,34,up,2.859088897705078
46,36,64,down,2.498978853225708
47,20,80,down,1.2652828693389893
48,70,30,up,3.516756057739258
49,24,76,down,0.7904078960418701
50,44,56,down,1.761348009109497
51,40,60,down,3.601512908935547
52,66,34,up,0.8562939167022705
53,72,28,up,1.4129531383514404
54,54,46,up,4.886743068695068
55,34,66,down,1.0327868461608887
56,70,30,up,1.6215319633483887
57,58,42,up,3.4377989768981934
58,50,50,down,0.5385940074920654
59,40,60,up,3.8565468788146973
60,48,52,up,3.9781908988952637
61,78,22,up,1.2381939888000488
62,78,22,up,1.5287320613861084
